 ,Label,Area,Mean,Min,Max,Length
1,33_C09_br223_trka-3.nd2:0702-1460,221.314,1975.032,466.000,13012.000,300.959
15	32_C08_br223_igf1r-2.nd2:0408-2527	398.365	1361.927	433.590	26049.891	575.546
16	32_C08_br223_igf1r-2.nd2:1122-3464	110.868	736.577	548.000	1913.770	165.454
17	32_C08_br223_igf1r-2.nd2:1238-3534	99.907	2005.234	486.920	11749.950	143.617
18	32_C08_br223_igf1r-2.nd2:1187-3376	93.163	6330.793	656.000	16188.720	123.266
19	32_C08_br223_igf1r-2.nd2:1925-0884	313.633	1132.155	489.270	7736.204	440.539
20	32_C08_br223_igf1r-2.nd2:3033-0905	184.217	1354.872	560.040	8417.041	253.242
21	32_C08_br223_igf1r-2.nd2:2401-1100	239.019	4162.085	526.000	26139.000	331.102
22	32_C08_br223_igf1r-2.nd2:3383-0418	215.834	1685.207	470.000	7974.000	314.148
23	32_C08_br223_igf1r-2.nd2:0795-0126	117.191	1191.038	515.600	4222.400	164.186
24	32_C08_br223_igf1r-2.nd2:0456-3042	363.376	2247.377	545.670	12091.511	534.673
25	32_C08_br223_igf1r-2.nd2:3025-3521	116.348	3639.996	615.570	16675.857	167.403
26	32_C08_br223_igf1r-2.nd2:2242-1578	95.270	6688.999	532.140	24029.352	138.159
27	32_C08_br223_igf1r-2.nd2:1997-0226	205.716	1778.694	517.000	8323.561	306.872
28	32_C08_br223_igf1r-2.nd2:0243-0235	267.684	917.986	461.890	3338.631	380.659
29	32_C08_br223_igf1r-2.nd2:0274-0769	277.801	1933.473	482.000	20307.000	387.226
30	32_C08_br223_igf1r-2.nd2:0131-1426	181.267	2091.807	519.000	12792.212	258.747
31	32_C08_br223_igf1r-2.nd2:0108-1265	113.397	3653.620	558.200	24696.869	159.012
32	32_C08_br223_igf1r-2.nd2:1123-0717	330.917	1301.502	516.000	14475.720	466.001
33	32_C08_br223_igf1r-2.nd2:2352-0566	182.110	1662.542	483.000	5857.560	253.417
34	32_C08_br223_igf1r-2.nd2:1232-1521	288.340	1214.531	521.778	2899.660	429.065
35	32_C08_br223_igf1r-2.nd2:2046-2437	147.121	1699.359	486.000	9557.000	200.593
36	32_C08_br223_igf1r-2.nd2:3453-2480	175.786	2524.967	0.000	33123.000	254.464
37	32_C08_br223_igf1r-2.nd2:3504-1675	114.240	1576.205	631.000	4545.329	164.947
38	32_C08_br223_igf1r-2.nd2:2860-0762	295.085	1443.200	565.000	6730.440	411.456
39	32_C08_br223_igf1r-2.nd2:2494-0491	112.132	1290.490	493.920	6527.838	153.308
40	32_C08_br223_igf1r-2.nd2:0185-0427	163.561	1367.195	540.580	4126.068	229.361
41	32_C08_br223_igf1r-2.nd2:0185-0427	163.561	1367.195	540.580	4126.068	229.361
42	32_C08_br223_igf1r-2.nd2:0935-1182	206.560	1676.164	541.460	5144.501	308.891
43	32_C08_br223_igf1r-2.nd2:1433-0638	69.556	1406.758	510.480	3714.573	106.103
44	32_C08_br223_igf1r-2.nd2:1490-0794	375.180	1098.497	550.497	6080.390	552.088
45	32_C08_br223_igf1r-2.nd2:1678-0879	155.552	1213.816	523.000	4476.600	232.288
46	32_C08_br223_igf1r-2.nd2:1686-0729	198.129	1171.887	487.710	4540.614	299.353
47	32_C08_br223_igf1r-2.nd2:0769-1783	161.454	1169.533	493.483	3582.000	216.263
48	32_C08_br223_igf1r-2.nd2:0729-1823	78.830	880.235	524.000	3803.145	113.537
49	32_C08_br223_igf1r-2.nd2:0551-1775	434.618	1554.849	439.500	9420.089	598.449
50	32_C08_br223_igf1r-2.nd2:0108-2214	95.692	997.721	512.000	3320.920	139.045
51	32_C08_br223_igf1r-2.nd2:0579-2663	420.707	1235.904	504.400	9575.000	595.039
