 ,Label,Area,Mean,Min,Max,Length
221,26_C02_fgfr_act104-1.nd2:1590-2603,230.274,1144.863,497.000,3657.500,311.560
222,26_C02_fgfr_act104-1.nd2:1271-1310,196.050,1594.465,523.844,4566.000,264.415
223,26_C02_fgfr_act104-1.nd2:1194-0288,97.602,1183.568,525.000,2539.000,136.595
224,26_C02_fgfr_act104-1.nd2:1263-0218,136.474,955.851,532.770,2499.210,194.702
225,26_C02_fgfr_act104-1.nd2:1334-0273,142.390,1246.853,521.000,3918.350,194.728
226,26_C02_fgfr_act104-1.nd2:1398-1722,136.052,885.902,544.000,1810.900,189.460
227,26_C02_fgfr_act104-1.nd2:1485-1701,84.082,1656.540,556.000,5177.000,129.092
228,26_C02_fgfr_act104-1.nd2:1668-0548,112.391,2508.964,703.600,13779.080,162.981
229,26_C02_fgfr_act104-1.nd2:1487-0510,153.375,1867.154,514.000,8890.000,211.369
230,26_C02_fgfr_act104-1.nd2:1670-0891,239.570,1224.719,528.000,5329.570,316.882
231,26_C02_fgfr_act104-1.nd2:1658-0755,284.357,1120.709,489.000,2803.000,388.765
232,26_C02_fgfr_act104-1.nd2:1395-0542,71.406,2106.893,486.000,8810.000,102.899
233,26_C02_fgfr_act104-1.nd2:1673-0476,204.078,1255.710,500.940,7163.000,285.126
234,26_C02_fgfr_act104-1.nd2:1874-0063,152.530,1113.692,481.000,2779.000,193.995
235,26_C02_fgfr_act104-1.nd2:2013-0089,141.967,1215.560,526.000,2487.000,180.449
236,26_C02_fgfr_act104-1.nd2:2145-0062,180.417,1115.735,518.000,2691.000,243.119
237,26_C02_fgfr_act104-1.nd2:2027-0188,205.768,977.389,470.000,3495.000,261.143
238,26_C02_fgfr_act104-1.nd2:2235-0107,248.443,1235.830,517.000,3733.320,311.181
239,26_C02_fgfr_act104-1.nd2:1689-1647,162.248,1677.547,522.000,5937.680,229.211
240,26_C02_fgfr_act104-1.nd2:1637-1560,216.754,1101.130,518.420,3427.350,302.532
241,26_C02_fgfr_act104-1.nd2:1451-2399,147.883,2048.581,545.100,6748.000,203.541
242,26_C02_fgfr_act104-1.nd2:1439-2147,218.444,1056.550,530.220,3681.820,297.059
243,26_C02_fgfr_act104-1.nd2:1407-1941,100.983,850.535,530.090,1783.000,132.869
244,26_C02_fgfr_act104-1.nd2:1511-1959,120.841,964.434,488.000,3253.557,172.117
245,26_C02_fgfr_act104-1.nd2:1713-1947,87.039,1019.054,495.000,2592.780,130.840
246,26_C02_fgfr_act104-1.nd2:1665-1757,179.572,903.026,527.000,4472.000,249.791
247,26_C02_fgfr_act104-1.nd2:1433-1898,160.981,1171.811,567.769,3223.488,215.496
248,26_C02_fgfr_act104-1.nd2:1514-2366,189.712,1385.340,531.000,6036.510,255.854
249,26_C02_fgfr_act104-1.nd2:1632-2267,84.082,1032.007,547.000,3393.800,125.441
250,26_C02_fgfr_act104-1.nd2:1755-2219,92.532,1733.170,555.514,5279.000,128.435
251,26_C02_fgfr_act104-1.nd2:1781-1808,106.475,826.521,523.000,1625.000,151.517
252,26_C02_fgfr_act104-1.nd2:1742-1914,155.910,752.222,483.000,3840.000,200.818
253,26_C02_fgfr_act104-1.nd2:2141-0306,298.300,876.326,493.000,3312.000,401.027
254,26_C02_fgfr_act104-1.nd2:2307-0128,279.709,815.878,510.000,1889.000,380.766
255,26_C02_fgfr_act104-1.nd2:2789-0267,462.661,1033.078,471.920,4296.460,605.461
256,26_C02_fgfr_act104-1.nd2:2013-0552,170.699,1104.933,539.720,2303.000,226.728
257,26_C02_fgfr_act104-1.nd2:2012-0887,97.602,1689.115,615.400,3775.190,145.002
258,26_C02_fgfr_act104-1.nd2:1482-0560,120.841,867.399,528.000,4315.000,175.584
259,26_C02_fgfr_act104-1.nd2:1592-0884,101.828,1305.111,570.349,3145.000,140.188
260,26_C02_fgfr_act104-1.nd2:1976-0344,286.470,1013.214,519.053,2484.000,376.713
261,26_C02_fgfr_act104-1.nd2:1794-0810,90.420,2353.247,732.000,3768.052,122.189
262,26_C02_fgfr_act104-1.nd2:1796-0971,151.263,1069.402,534.730,3012.000,204.643
263,26_C02_fgfr_act104-1.nd2:1428-0690,70.139,1109.223,492.000,3221.440,97.504
264,26_C02_fgfr_act104-1.nd2:1604-1074,342.665,1418.461,497.000,6316.300,471.078
265,26_C02_fgfr_act104-1.nd2:1664-1487,106.898,836.336,492.320,2415.000,163.024
266,26_C02_fgfr_act104-1.nd2:1778-1662,133.094,1566.576,515.000,4286.820,181.012
267,26_C02_fgfr_act104-1.nd2:2717-0092,145.347,1027.593,473.000,2049.910,205.300
268,26_C02_fgfr_act104-1.nd2:2853-0207,330.834,997.976,475.140,4457.150,445.131
269,26_C02_fgfr_act104-1.nd2:3102-0047,161.826,1278.101,516.000,2822.860,231.368
270,26_C02_fgfr_act104-1.nd2:3122-0023,61.688,1053.814,529.000,2305.000,82.005
271,26_C02_fgfr_act104-1.nd2:3065-0110,111.968,2030.397,645.790,3807.300,151.699
272,26_C02_fgfr_act104-1.nd2:2178-1262,163.516,1187.903,534.000,3323.720,224.002
273,26_C02_fgfr_act104-1.nd2:1667-1094,121.264,922.809,484.460,2576.800,169.972
274,26_C02_fgfr_act104-1.nd2:1700-1287,117.884,1268.694,506.920,4735.820,178.548
275,26_C02_fgfr_act104-1.nd2:1590-1208,78.167,1128.279,512.000,3519.120,102.676
276,26_C02_fgfr_act104-1.nd2:1739-1133,204.078,1223.632,526.650,2762.840,285.407
277,26_C02_fgfr_act104-1.nd2:1707-1400,171.121,1141.914,533.480,3987.400,255.511
278,26_C02_fgfr_act104-1.nd2:1806-0246,79.434,1437.794,516.000,3951.000,107.457
279,26_C02_fgfr_act104-1.nd2:2076-0261,49.435,1257.635,575.851,3020.000,71.073
280,26_C02_fgfr_act104-1.nd2:2955-0062,269.569,1024.012,511.000,2692.000,393.548
281,26_C02_fgfr_act104-1.nd2:3234-0149,54.928,954.776,570.000,2309.000,75.150
282,26_C02_fgfr_act104-1.nd2:2885-0134,47.322,872.203,480.000,2935.000,63.979
283,26_C02_fgfr_act104-1.nd2:3063-0221,176.192,951.484,498.000,4093.000,243.269
284,26_C02_fgfr_act104-1.nd2:2822-0251,118.306,1142.999,507.710,6277.340,173.222
285,26_C02_fgfr_act104-1.nd2:2549-0290,98.448,969.452,519.450,2701.000,135.706
286,26_C02_fgfr_act104-1.nd2:2547-0317,158.023,970.963,579.750,2479.000,199.534
287,26_C02_fgfr_act104-1.nd2:2367-0249,140.277,1362.326,755.000,3350.000,191.219
288,26_C02_fgfr_act104-1.nd2:2481-0219,65.491,1121.341,495.560,2654.000,88.063
289,26_C02_fgfr_act104-1.nd2:2517-0279,163.093,822.540,514.000,2039.330,222.085
290,26_C02_fgfr_act104-1.nd2:2190-1685,161.826,1235.323,487.000,3850.950,239.831
291,26_C02_fgfr_act104-1.nd2:2093-1421,326.609,1117.955,464.000,3752.889,433.048
292,26_C02_fgfr_act104-1.nd2:2193-0620,84.927,1715.988,578.500,4238.100,128.927
293,26_C02_fgfr_act104-1.nd2:1904-0600,324.497,1264.890,508.720,4727.872,437.404
294,26_C02_fgfr_act104-1.nd2:1736-0455,182.952,1189.284,518.000,5785.000,267.682
295,26_C02_fgfr_act104-1.nd2:2171-0461,198.163,1197.954,538.000,3946.640,267.761
296,26_C02_fgfr_act104-1.nd2:1847-0444,157.178,862.158,513.000,2250.740,217.017
297,26_C02_fgfr_act104-1.nd2:1800-0504,206.613,1285.706,508.050,5786.400,299.482
298,26_C02_fgfr_act104-1.nd2:0936-1704,54.928,1145.387,658.000,2646.000,82.603
299,26_C02_fgfr_act104-1.nd2:1848-0684,97.180,1484.479,497.000,5267.000,128.449
300,26_C02_fgfr_act104-1.nd2:1806-0722,80.702,1417.683,574.950,4053.450,113.933
301,26_C02_fgfr_act104-1.nd2:1829-0732,179.994,1567.453,510.000,3888.000,240.023
302,26_C02_fgfr_act104-1.nd2,136.897,1464.141,515.000,6385.200,203.253
303,26_C02_fgfr_act104-1.nd2:1841-1239,136.897,1464.141,515.000,6385.200,203.253
304,26_C02_fgfr_act104-1.nd2:2069-2760,500.688,1436.982,532.000,6151.000,698.587
305,26_C02_fgfr_act104-1.nd2:1458-2735,81.124,1157.463,528.993,3431.320,111.461
306,26_C02_fgfr_act104-1.nd2:1460-2811,113.658,1512.126,517.850,3959.666,158.589
307,26_C02_fgfr_act104-1.nd2:2036-2832,562.799,1100.464,476.000,5714.200,801.735
308,26_C02_fgfr_act104-1.nd2:1793-2960,88.730,1377.034,492.040,5203.696,131.510
309,26_C02_fgfr_act104-1.nd2:1679-3060,201.543,974.746,481.000,5046.000,265.767
310,26_C02_fgfr_act104-1.nd2:1440-3143,174.924,1811.178,507.000,12694.000,242.111
311,26_C02_fgfr_act104-1.nd2:0169-3396,210.838,1874.790,485.000,9994.000,275.766
312,26_C02_fgfr_act104-1.nd2:0331-3243,248.443,2459.289,507.000,12289.325,317.676
313,26_C02_fgfr_act104-1.nd2:0201-3559,74.364,3614.392,536.000,8464.910,96.065
314,26_C02_fgfr_act104-1.nd2:2131-1323,287.737,1252.264,514.000,9901.000,380.311
315,26_C02_fgfr_act104-1.nd2:0974-3395,197.740,1127.078,499.000,6654.000,276.739
316,26_C02_fgfr_act104-1.nd2:1050-3303,95.067,933.821,499.632,2401.000,126.177
317,26_C02_fgfr_act104-1.nd2:1069-3363,117.461,1030.779,497.000,10965.000,154.491
318,26_C02_fgfr_act104-1.nd2:1095-3414,112.813,1071.658,548.000,2940.000,149.803
319,26_C02_fgfr_act104-1.nd2:2194-0518,253.513,1065.781,522.980,3348.000,372.789
320,26_C02_fgfr_act104-1.nd2:1585-3426,439.845,1042.774,517.480,4323.000,595.803
321,26_C02_fgfr_act104-1.nd2:1778-3334,188.445,1010.282,487.000,8329.530,249.310
322,26_C02_fgfr_act104-1.nd2:1553-3551,141.967,1796.351,0.000,4612.993,189.924
323,26_C02_fgfr_act104-1.nd2:1631-3493,137.320,1235.783,523.000,3469.000,181.808
324,26_C02_fgfr_act104-1.nd2:1633-3581,66.758,992.310,546.000,1844.000,84.703
325,26_C02_fgfr_act104-1.nd2:2339-0862,149.150,1786.860,555.391,6808.880,220.329
326,26_C02_fgfr_act104-1.nd2:2178-0369,176.192,1022.325,530.380,3075.000,241.893
327,26_C02_fgfr_act104-1.nd2:3477-0847,144.502,1273.609,565.280,5842.190,211.496
328,26_C02_fgfr_act104-1.nd2:3586-0790,146.615,1342.876,520.020,12803.170,221.276
329,26_C02_fgfr_act104-1.nd2:1719-3340,170.276,929.663,515.000,4057.000,225.395
330,26_C02_fgfr_act104-1.nd2:1500-3466,74.364,1976.193,532.600,6718.000,93.910
331,26_C02_fgfr_act104-1.nd2:1365-3539,157.601,1002.511,521.000,2781.850,199.192
332,26_C02_fgfr_act104-1.nd2:2254-2295,201.965,1316.085,519.000,4477.720,284.608
333,26_C02_fgfr_act104-1.nd2:2324-2272,182.529,1943.711,575.800,4191.600,274.262
334,26_C02_fgfr_act104-1.nd2:2071-2559,180.839,1241.028,526.380,3980.620,265.457
335,26_C02_fgfr_act104-1.nd2:2508-2602,329.567,1019.996,523.000,3472.730,467.032
336,26_C02_fgfr_act104-1.nd2:2063-3314,99.293,4380.201,502.000,11905.000,134.283
337,26_C02_fgfr_act104-1.nd2:1916-3428,228.584,1340.793,504.240,6872.400,309.489
338,26_C02_fgfr_act104-1.nd2:1881-3349,128.869,1366.635,519.597,5198.000,172.250
339,26_C02_fgfr_act104-1.nd2:1821-3574,99.715,957.050,523.740,3850.000,125.315
340,26_C02_fgfr_act104-1.nd2:1769-2162,192.247,1214.701,540.000,3412.000,263.746
341,26_C02_fgfr_act104-1.nd2:2407-0852,151.685,1107.997,542.230,6860.271,212.641
342,26_C02_fgfr_act104-1.nd2:3371-0098,101.828,781.801,521.946,1272.167,144.296
343,26_C02_fgfr_act104-1.nd2:3504-0150,161.403,1017.749,465.000,4244.792,223.875
344,26_C02_fgfr_act104-1.nd2:3489-0091,121.264,1030.352,485.103,3191.470,178.030
345,26_C02_fgfr_act104-1.nd2:3456-0281,187.177,866.816,477.450,3002.961,250.356
346,26_C02_fgfr_act104-1.nd2:3541-0398,98.025,1346.308,474.000,4891.000,126.802
347,26_C02_fgfr_act104-1.nd2:3448-0385,196.473,1298.957,483.580,3472.749,273.951
348,26_C02_fgfr_act104-1.nd2:3248-0328,73.096,1113.377,570.309,2185.000,101.850
349,26_C02_fgfr_act104-1.nd2:3195-0481,97.602,1331.175,550.844,3631.000,129.206
350,26_C02_fgfr_act104-1.nd2:3100-0582,370.129,1172.679,504.540,7246.000,492.895
351,26_C02_fgfr_act104-1.nd2:2041-3079,147.460,1283.259,494.108,5360.660,220.586
352,26_C02_fgfr_act104-1.nd2:2275-2988,443.648,1232.017,491.000,5447.000,614.829
353,26_C02_fgfr_act104-1.nd2:1850-2232,177.882,1204.123,515.000,2768.000,243.124
354,26_C02_fgfr_act104-1.nd2:1723-2608,84.082,719.247,514.000,3109.396,112.510
355,26_C02_fgfr_act104-1.nd2:1713-2533,97.180,1378.108,576.970,3028.610,143.451
356,26_C02_fgfr_act104-1.nd2:1142-3514,111.123,1086.696,543.800,3656.917,151.464
