1	45_D04_her2mb_br223m2-1.nd2:0138-0161	121.264	1230.105	562.397	2389.270	166.798
2	45_D04_her2mb_br223m2-1.nd2:0048-0191	155.488	871.764	497.000	2386.920	227.046
3	45_D04_her2mb_br223m2-1.nd2:0101-0226	175.769	964.016	517.460	3576.440	254.135
4	45_D04_her2mb_br223m2-1.nd2:0228-0229	197.740	800.186	511.910	2715.716	285.638
5	45_D04_her2mb_br223m2-1.nd2:0161-0151	89.575	707.674	489.000	2550.856	133.992
6	45_D04_her2mb_br223m2-1.nd2:0081-0598	92.532	1195.681	531.000	2967.000	126.902
7	45_D04_her2mb_br223m2-1.nd2:0163-0876	131.404	868.100	516.825	1964.000	187.357
8	45_D04_her2mb_br223m2-1.nd2:0060-0637	81.547	2266.661	593.700	4621.000	113.070
9	45_D04_her2mb_br223m2-1.nd2:0069-0634	195.205	966.697	532.000	2430.040	278.314
10	45_D04_her2mb_br223m2-1.nd2:0021-1090	53.660	2065.706	652.000	4065.000	72.582
11	45_D04_her2mb_br223m2-1.nd2:0113-1304	128.447	726.384	515.770	2428.000	175.806
12	45_D04_her2mb_br223m2-1.nd2:0041-1573	104.785	1782.263	708.800	3559.816	150.237
13	45_D04_her2mb_br223m2-1.nd2:0056-1491	113.658	859.827	512.390	2951.760	160.730
14	45_D04_her2mb_br223m2-1.nd2:0015-1720	57.885	1722.436	553.000	3974.300	82.804
15	45_D04_her2mb_br223m2-1.nd2:0108-2407	356.186	971.876	515.641	4227.515	504.329
16	45_D04_her2mb_br223m2-1.nd2:0032-2697	367.171	1281.309	513.000	3257.960	544.846
17	45_D04_her2mb_br223m2-1.nd2:0058-3228	188.867	970.190	564.880	3281.550	285.930
18	45_D04_her2mb_br223m2-1.nd2:0013-3120	128.024	840.200	525.000	6748.430	189.598
19	45_D04_her2mb_br223m2-1.nd2:0033-3174	75.209	972.081	553.961	3039.000	111.648
20	45_D04_her2mb_br223m2-1.nd2:0279-1725	256.893	939.922	558.000	2437.071	337.679
21	45_D04_her2mb_br223m2-1.nd2:0090-3129	269.146	1230.495	500.640	3970.600	390.587
22	45_D04_her2mb_br223m2-1.nd2:0126-3328	230.697	771.858	504.000	1828.000	336.011
23	45_D04_her2mb_br223m2-1.nd2:0088-3293	287.737	747.844	491.000	1671.000	395.868
24	45_D04_her2mb_br223m2-1.nd2:0043-2006	79.857	1166.548	758.000	2088.240	110.327
25	45_D04_her2mb_br223m2-1.nd2:0091-2204	321.539	1044.805	509.000	2839.100	459.900
26	45_D04_her2mb_br223m2-1.nd2:0051-0794	116.616	1150.090	562.760	3444.878	168.053
27	45_D04_her2mb_br223m2-1.nd2:0183-1663	157.178	1518.294	507.000	5474.170	213.998
28	45_D04_her2mb_br223m2-1.nd2:0188-1758	255.203	1058.413	521.000	3900.680	348.181
29	45_D04_her2mb_br223m2-1.nd2:0016-1820	47.745	804.037	541.230	1346.000	69.259
30	45_D04_her2mb_br223m2-1.nd2:0048-1890	88.307	872.934	558.540	1360.670	119.157
31	45_D04_her2mb_br223m2-1.nd2:0216-3309	142.390	966.567	566.000	1774.780	204.165
32	45_D04_her2mb_br223m2-1.nd2:0200-3479	91.265	818.516	568.110	1197.510	133.501
33	45_D04_her2mb_br223m2-1.nd2:0216-3128	269.991	1138.534	559.000	2423.500	403.194
34	45_D04_her2mb_br223m2-1.nd2:0196-2870	119.574	1549.942	542.000	16571.619	182.422
35	45_D04_her2mb_br223m2-1.nd2:0120-2762	184.219	965.189	518.289	5286.336	264.445
36	45_D04_her2mb_br223m2-1.nd2:0125-2026	280.554	1320.792	498.301	3620.220	395.414
37	45_D04_her2mb_br223m2-1.nd2:0146-2319	78.589	1426.196	554.650	2638.796	112.581
38	45_D04_her2mb_br223m2-1.nd2:0181-2410	49.435	1954.491	592.000	3011.000	70.840
39	45_D04_her2mb_br223m2-1.nd2:0218-2683	78.589	992.253	576.000	1891.640	118.413
40	45_D04_her2mb_br223m2-1.nd2:0194-2552	109.011	945.737	493.000	2329.000	161.088
41	45_D04_her2mb_br223m2-1.nd2:0259-2529	223.936	1174.077	529.780	6207.000	309.683
42	45_D04_her2mb_br223m2-1.nd2:0343-3401	190.980	864.727	517.000	4588.980	251.253
43	45_D04_her2mb_br223m2-1.nd2:0381-3266	153.798	941.139	535.000	2140.000	228.785
44	45_D04_her2mb_br223m2-1.nd2:0439-3241	95.490	1142.992	591.000	3328.000	135.220
45	45_D04_her2mb_br223m2-1.nd2:0444-3534	58.308	1827.068	0.000	3627.100	84.539
46	45_D04_her2mb_br223m2-1.nd2:0444-3509	92.532	1243.012	541.000	6384.600	118.977
47	45_D04_her2mb_br223m2-1.nd2:0489-3314	142.812	1218.398	543.680	3581.000	211.039
48	45_D04_her2mb_br223m2-1.nd2:0409-3215	279.709	1289.379	553.280	5497.000	404.950
49	45_D04_her2mb_br223m2-1.nd2:0524-3289	156.333	826.042	534.000	2066.700	230.268
50	45_D04_her2mb_br223m2-1.nd2:0568-3388	168.164	1478.496	522.540	3959.000	249.393
51	45_D04_her2mb_br223m2-1.nd2:0618-3273	124.644	1829.974	763.200	4763.883	185.110
52	45_D04_her2mb_br223m2-1.nd2:0664-3198	158.446	783.422	533.560	1654.000	230.250
53	45_D04_her2mb_br223m2-1.nd2:0682-3516	67.603	1688.188	0.000	6556.000	104.003
54	45_D04_her2mb_br223m2-1.nd2:0151-2014	225.627	695.262	475.120	1515.000	306.160
55	45_D04_her2mb_br223m2-1.nd2:0416-2349	243.795	1104.140	540.000	4619.000	324.120
56	45_D04_her2mb_br223m2-1.nd2:0308-2394	245.485	919.424	519.000	2371.000	340.571
57	45_D04_her2mb_br223m2-1.nd2:0338-2445	278.442	952.000	518.000	2757.000	383.566
58	45_D04_her2mb_br223m2-1.nd2:0364-2467	307.596	967.866	504.020	4022.996	435.679
59	45_D04_her2mb_br223m2-1.nd2:0120-0364	54.505	1688.424	560.000	3470.360	72.515
60	45_D04_her2mb_br223m2-1.nd2:0183-0982	87.462	812.025	493.000	1777.000	127.581
61	45_D04_her2mb_br223m2-1.nd2:0095-0799	75.209	993.627	530.000	1918.700	104.490
62	45_D04_her2mb_br223m2-1.nd2:0133-1018	348.158	914.420	525.300	6156.000	497.952
63	45_D04_her2mb_br223m2-1.nd2:0659-3343	140.700	1241.318	527.000	4607.040	209.805
64	45_D04_her2mb_br223m2-1.nd2:0732-3541	105.630	944.657	564.000	3405.000	155.480
65	45_D04_her2mb_br223m2-1.nd2:0589-2853	127.602	1320.654	487.000	4234.000	168.904
66	45_D04_her2mb_br223m2-1.nd2:0782-3542	53.660	1745.938	0.000	4216.000	79.320
67	45_D04_her2mb_br223m2-1.nd2:0872-3376	307.596	1482.465	0.000	5453.262	394.560
68	45_D04_her2mb_br223m2-1.nd2:0752-3153	265.344	978.386	523.950	4698.023	396.543
69	45_D04_her2mb_br223m2-1.nd2:0413-0444	308.441	1144.446	509.930	4178.000	424.957
70	45_D04_her2mb_br223m2-1.nd2:0268-0576	204.923	860.869	505.180	3832.000	280.792
71	45_D04_her2mb_br223m2-1.nd2:0313-0755	100.138	866.311	556.000	1485.000	137.540
72	45_D04_her2mb_br223m2-1.nd2:0255-0729	190.557	933.780	519.000	2570.000	257.732
73	45_D04_her2mb_br223m2-1.nd2:0238-0865	85.772	1012.077	520.000	2780.450	117.045
74	45_D04_her2mb_br223m2-1.nd2:0241-0754	286.892	703.741	483.000	2417.000	401.790
75	45_D04_her2mb_br223m2-1.nd2:0198-1135	81.547	1089.796	549.670	2162.000	114.085
76	45_D04_her2mb_br223m2-1.nd2:0114-1015	208.726	850.821	536.160	2807.000	283.949
