 ,Label,Area,Mean,Min,Max,Length
84,35_C11_igf1r_bmpr211m2-1.nd2:1212-0536,280.554,1689.145,524.980,5669.000,361.209
85,35_C11_igf1r_bmpr211m2-1.nd2:0205-2304,225.627,1464.765,510.000,4549.000,297.111
86,35_C11_igf1r_bmpr211m2-1.nd2:0123-2104,117.038,926.224,498.100,1838.000,157.606
87,35_C11_igf1r_bmpr211m2-1.nd2:0148-2051,137.742,862.188,498.080,2095.000,190.743
88,35_C11_igf1r_bmpr211m2-1.nd2:1127-1453,176.614,1961.549,502.000,6650.000,255.857
89,35_C11_igf1r_bmpr211m2-1.nd2:1067-1565,190.135,904.533,491.000,2895.000,238.643
90,35_C11_igf1r_bmpr211m2-1.nd2:1100-1539,202.810,876.385,499.740,2643.098,289.761
91,35_C11_igf1r_bmpr211m2-1.nd2:0533-2281,156.756,2143.588,539.320,5844.900,215.551
92,35_C11_igf1r_bmpr211m2-1.nd2:0569-2094,160.981,1309.606,513.000,6242.240,212.424
93,35_C11_igf1r_bmpr211m2-1.nd2:0433-2452,100.138,1779.499,557.180,4485.000,130.122
94,35_C11_igf1r_bmpr211m2-1.nd2:0230-2933,131.827,2267.490,523.000,8748.070,185.692
95,35_C11_igf1r_bmpr211m2-1.nd2:0085-2357,77.321,1625.093,562.000,4944.000,107.412
96,35_C11_igf1r_bmpr211m2-1.nd2:0108-2414,108.588,1188.821,530.000,6642.000,145.527
97,35_C11_igf1r_bmpr211m2-1.nd2:0143-2472,100.138,1911.217,525.000,5383.000,142.773
98,35_C11_igf1r_bmpr211m2-1.nd2:0374-1981,81.124,906.769,588.000,1273.000,119.236
99,35_C11_igf1r_bmpr211m2-1.nd2:0101-2244,82.392,1079.287,520.000,2935.000,108.905
100,35_C11_igf1r_bmpr211m2-1.nd2:0348-2304,235.345,868.718,519.000,3704.980,344.046
101,35_C11_igf1r_bmpr211m2-1.nd2:0399-2299,80.279,1382.021,534.000,3432.000,118.844
102,35_C11_igf1r_bmpr211m2-1.nd2:0426-2261,102.250,782.277,531.000,2951.200,150.403
103,35_C11_igf1r_bmpr211m2-1.nd2,153.375,1035.471,549.000,3442.470,206.047
104,35_C11_igf1r_bmpr211m2-1.nd2:0523-2109,153.375,1035.471,549.000,3442.470,206.047
105,35_C11_igf1r_bmpr211m2-1.nd2:0837-1440,199.008,1139.125,507.000,3601.540,255.915
106,35_C11_igf1r_bmpr211m2-1.nd2:0921-1428,73.096,1408.780,568.000,2647.000,91.007
107,35_C11_igf1r_bmpr211m2-1.nd2:0859-1560,165.628,685.193,485.000,2318.740,219.379
108,35_C11_igf1r_bmpr211m2-1.nd2:0468-2146,71.406,2013.858,527.560,5562.000,93.228
