 ,Label,Area,Mean,Min,Max,Length
226,23_B02_ctrl-3.nd2:3583-1858,51.548,1172.044,672.000,2131.359,66.899
227,23_B02_ctrl-3.nd2:3313-1868,310.131,1129.991,519.000,4731.000,431.971
228,23_B02_ctrl-3.nd2:3161-1338,44.787,863.700,519.830,1565.591,60.725
229,23_B02_ctrl-3.nd2:3319-2034,117.038,2285.338,532.000,7111.590,149.189
230,23_B02_ctrl-3.nd2:3244-2119,99.293,1445.684,567.000,3802.000,124.226
231,23_B02_ctrl-3.nd2:3278-2107,167.741,916.861,508.000,5551.000,213.772
232,23_B02_ctrl-3.nd2:3298-1661,68.026,999.039,549.700,2156.000,100.046
233,23_B02_ctrl-3.nd2:3025-1991,181.262,1511.123,491.000,5911.060,227.424
234,23_B02_ctrl-3.nd2:2392-2112,96.757,1953.510,562.601,9374.000,118.914
235,23_B02_ctrl-3.nd2:2663-1816,77.321,869.291,533.000,2239.000,95.312
236,23_B02_ctrl-3.nd2:2657-1936,127.602,844.349,515.940,2766.000,184.582
237,23_B02_ctrl-3.nd2:2753-1841,72.674,1705.348,556.000,3830.000,98.141
238,23_B02_ctrl-3.nd2:1983-2910,261.963,1353.283,495.000,11273.280,367.113
239,23_B02_ctrl-3.nd2:2995-2164,156.756,1777.591,652.870,7318.000,211.986
240,23_B02_ctrl-3.nd2:3043-2074,232.809,2412.879,571.520,12957.000,329.732
241,23_B02_ctrl-3.nd2:3180-2367,126.756,3568.205,645.530,12288.000,185.156
242,23_B02_ctrl-3.nd2:3206-2572,171.544,6960.761,534.000,16920.000,250.180
243,23_B02_ctrl-3.nd2:3427-2439,112.813,1739.739,480.180,7027.720,159.189
244,23_B02_ctrl-3.nd2:2286-2657,98.025,4231.541,521.000,12588.640,131.417
245,23_B02_ctrl-3.nd2:1501-2654,91.687,2829.655,574.960,8293.756,117.981
246,23_B02_ctrl-3.nd2:1524-2705,83.659,3435.103,1208.070,11927.000,122.155
247,23_B02_ctrl-3.nd2:1583-2714,82.392,2365.421,540.000,7654.580,105.750
248,23_B02_ctrl-3.nd2:1325-3117,134.362,1761.566,520.000,9013.000,178.517
249,23_B02_ctrl-3.nd2:1804-2252,74.786,1077.169,496.640,2842.000,95.771
250,23_B02_ctrl-3.nd2:1734-2124,143.235,1026.671,483.000,3855.000,191.899
251,23_B02_ctrl-3.nd2:1591-2112,73.941,800.316,510.000,1793.000,103.377
252,23_B02_ctrl-3.nd2:1846-1335,57.040,1829.071,486.490,5703.290,76.342
253,23_B02_ctrl-3.nd2:2207-2913,167.741,1515.770,533.296,5478.650,241.975
254,23_B02_ctrl-3.nd2:1733-2490,79.012,981.175,523.400,2239.000,107.753
255,23_B02_ctrl-3.nd2:1775-2584,57.040,1420.937,645.710,3893.220,78.149
256,23_B02_ctrl-3.nd2:1846-2542,69.294,692.155,519.000,1516.936,94.992
257,23_B02_ctrl-3.nd2:1738-2620,125.489,2798.786,559.080,7616.025,173.092
258,23_B02_ctrl-3.nd2:1916-2584,167.319,1144.108,496.000,10484.456,234.029
259,23_B02_ctrl-3.nd2:1773-2657,112.813,1447.130,543.516,3701.205,161.831
260,23_B02_ctrl-3.nd2:1748-2856,220.556,1540.004,483.000,4001.400,315.420
261,23_B02_ctrl-3.nd2:2400-3040,205.768,4293.727,554.816,12896.319,281.209
262,23_B02_ctrl-3.nd2:2461-2655,105.630,1150.143,539.200,2639.440,155.204
263,23_B02_ctrl-3.nd2:2547-3008,171.966,2399.264,525.000,11021.160,249.640
264,23_B02_ctrl-3.nd2:2856-2547,135.207,2544.132,722.650,5905.159,198.837
265,23_B02_ctrl-3.nd2:2933-2524,171.121,1380.315,529.000,4000.000,248.714
266,23_B02_ctrl-3.nd2:2950-2194,115.771,1277.260,517.000,4366.487,165.713
