 ,Label,Area,Mean,Min,Max,Length
68,40_D09_trka_br223-1.nd2:0652-0155,125.489,878.954,488.000,3093.000,169.690
69,40_D09_trka_br223-1.nd2:0834-0479,150.840,963.296,476.580,4067.000,201.868
70,40_D09_trka_br223-1.nd2:0776-0289,256.471,1238.196,484.733,3526.870,345.608
71,40_D09_trka_br223-1.nd2:0987-0321,61.688,1819.737,547.000,4467.919,87.896
72,40_D09_trka_br223-1.nd2:0985-0108,90.842,757.078,466.000,1660.580,117.112
73,40_D09_trka_br223-1.nd2:0984-0866,95.067,1775.870,520.000,3132.000,127.232
74,40_D09_trka_br223-1.nd2:0776-0851,229.852,725.194,517.000,8405.471,303.681
75,40_D09_trka_br223-1.nd2:0790-1004,87.462,846.209,480.000,1422.600,111.825
76,40_D09_trka_br223-1.nd2:0701-0906,29.577,4015.307,1335.000,7770.000,40.384
77,40_D09_trka_br223-1.nd2:0844-1055,137.320,1304.140,541.020,3198.440,186.008
78,40_D09_trka_br223-1.nd2:1177-0874,273.794,1136.666,512.000,5451.720,399.763
79,40_D09_trka_br223-1.nd2:1168-0111,145.770,2815.359,557.000,7665.048,192.345
80,40_D09_trka_br223-1.nd2:1245-0208,85.772,2363.699,528.000,8809.000,105.490
81,40_D09_trka_br223-1.nd2:1350-0166,95.912,1530.679,484.000,6212.000,123.102
82,40_D09_trka_br223-1.nd2:1446-0412,178.304,1988.155,504.150,6615.760,241.390
83,40_D09_trka_br223-1.nd2:1583-0160,180.839,806.182,473.000,4526.908,238.420
84,40_D09_trka_br223-1.nd2:1443-0311,200.275,1087.253,498.000,3890.000,256.828
85,40_D09_trka_br223-1.nd2:1518-0468,194.360,1047.739,499.000,6305.079,244.348
86,40_D09_trka_br223-1.nd2:0452-1473,44.365,1936.177,528.000,4419.000,61.760
87,40_D09_trka_br223-1.nd2:0479-1511,35.069,1355.892,579.000,3340.000,49.771
88,40_D09_trka_br223-1.nd2:0537-1537,121.686,1769.515,625.000,6812.000,171.684
89,40_D09_trka_br223-1.nd2,46.055,1137.945,534.000,4004.000,63.909
90,40_D09_trka_br223-1.nd2:0633-1487,46.055,1137.945,534.000,4004.000,63.909
91,40_D09_trka_br223-1.nd2:1125-0822,65.491,1387.891,583.000,4619.000,89.036
92,40_D09_trka_br223-1.nd2:1090-0967,217.599,1324.662,590.240,4607.000,308.578
93,40_D09_trka_br223-1.nd2:1120-1164,244.218,1099.775,481.000,3345.000,329.197
94,40_D09_trka_br223-1.nd2:1264-0596,216.754,1900.782,536.000,5719.000,273.467
95,40_D09_trka_br223-1.nd2:1037-0439,52.393,1339.436,518.000,2775.560,63.302
96,40_D09_trka_br223-1.nd2:1213-0592,225.627,1262.494,490.000,3557.000,279.313
97,40_D09_trka_br223-1.nd2:1220-0824,84.927,1405.381,593.780,5415.000,116.061
98,40_D09_trka_br223-1.nd2:1518-0676,200.275,1175.314,512.000,5372.000,252.551
99,40_D09_trka_br223-1.nd2:1508-1040,340.552,872.686,525.000,4833.917,446.091
100,40_D09_trka_br223-1.nd2:1025-1094,171.544,869.067,498.000,1841.340,213.445
101,40_D09_trka_br223-1.nd2:0947-1027,98.025,911.117,527.000,1521.000,130.118
102,40_D09_trka_br223-1.nd2:0601-1568,289.005,1180.457,502.000,4910.000,399.276
103,40_D09_trka_br223-1.nd2:0519-1621,248.443,1036.885,511.000,4381.000,339.536
104,40_D09_trka_br223-1.nd2:0488-1621,242.950,1703.404,520.000,8291.000,314.584
105,40_D09_trka_br223-1.nd2:0382-1763,98.025,821.260,510.000,2856.280,123.020
106,40_D09_trka_br223-1.nd2:0298-1936,149.573,1703.216,511.760,7797.000,194.492
107,40_D09_trka_br223-1.nd2:0534-1725,221.824,1316.933,532.800,4025.295,282.914
108,40_D09_trka_br223-1.nd2:0249-2038,151.685,967.518,484.000,3109.150,212.741
109,40_D09_trka_br223-1.nd2:0223-2255,126.334,1742.773,650.000,4578.360,172.149
110,40_D09_trka_br223-1.nd2:0316-2266,299.145,1419.475,472.000,5593.000,389.034
111,40_D09_trka_br223-1.nd2:0224-2652,224.782,1803.502,576.000,5473.000,301.154
112,40_D09_trka_br223-1.nd2:0070-2564,69.294,1538.276,553.280,3842.280,89.804
113,40_D09_trka_br223-1.nd2:0223-2547,169.431,954.001,518.000,4115.000,241.312
114,40_D09_trka_br223-1.nd2:0090-2347,106.898,1506.421,678.000,3781.000,141.564
