stem,plate,case_id,label,gap_px,align_deg,a1_deg,a2_deg,len_min,len_max,len_ratio,end_dist_ratio
P23_B03_ACT104_EGFR,PLATE_23,link_94_1_286_0,0,56.57864349734797,231.1832328722388,111.23399983115506,119.94923304108373,122.08598317768298,153.07300199071543,0.7975670535623783,0.2627906333020539
P23_B03_ACT104_EGFR,PLATE_23,link_227_0_629_0,0,52.35773581811958,181.2498009004422,81.35263769108849,99.8971632093537,359.49327975005826,832.8795486730414,0.4316269745400873,0.44508240721470754
P23_B03_ACT104_EGFR,PLATE_23,link_819_0_823_0,1,2.0408821622038102,86.66295513086851,78.55354090707036,8.109414223798161,126.37056968011143,288.58938404563713,0.43789056932228443,0.01651756157153196
P23_B03_ACT104_EGFR,PLATE_23,link_841_1_845_0,0,60.46442342402663,166.25146661005067,93.91816364766501,72.33330296238566,170.55018618900704,728.3437563573272,0.2341616643245236,0.1142383158056854
P23_B03_ACT104_EGFR,PLATE_23,link_247_0_779_1,0,138.30056001332773,220.53018775337029,69.72112635599721,150.80906139737309,115.80478464502467,186.7393148444189,0.620141424110434,0.708987601227794
P23_B03_ACT104_EGFR,PLATE_23,link_243_1_308_1,1,6.249431974187665,245.290305389048,156.98383832717008,88.30646706187794,30.411522123643383,188.66854720123848,0.1611902067131821,0.037074761392030885
P23_B03_ACT104_EGFR,PLATE_23,link_100_1_130_0,1,129.15545710499424,14.787237517280456,5.672094939483407,9.11514257779705,229.31866056915203,421.8556536860919,0.5435950865311644,0.16863544093212537
P23_B03_ACT104_EGFR,PLATE_23,link_292_1_594_1,0,159.30180224969223,171.92355163110847,85.6782131475024,86.24533848360605,63.58046883498214,130.9498611058185,0.4855329230445214,0.6635262220950052
P23_B03_ACT104_EGFR,PLATE_23,link_776_1_790_0,1,0.9087353850268994,49.664251804039495,21.2604481815634,28.403803622476094,460.1103663807579,839.3626925386216,0.5481663296103512,0.002595695547667605
P23_B03_ACT104_EGFR,PLATE_23,link_816_0_822_0,0,153.07853049987142,77.9259604844139,24.18716399111664,53.73879649329727,130.9498611058185,188.66854720123848,0.6940736177193552,0.3586694398183059
P23_B03_ACT104_EGFR,PLATE_23,link_117_1_802_1,1,52.00878098936757,42.33241052399845,0.766152280913586,41.56625824308486,51.960592201282445,151.36134778605782,0.3432883821484353,0.21248037025239022
P23_B03_ACT104_EGFR,PLATE_23,link_76_1_109_1,0,127.14335727831002,155.32855351413937,39.46426600067797,115.86428751346139,308.6087572231174,832.8795486730414,0.3705322789049129,0.9342861821742275
P23_B03_ACT104_EGFR,PLATE_23,link_856_1_858_1,0,61.248543656155654,187.67140519482354,147.6634948139553,40.00791038086822,148.19803139534048,291.63711613833567,0.5081590209013175,0.218544929083441
P23_B03_ACT104_EGFR,PLATE_23,link_502_0_628_0,0,50.64464927314628,150.24315506509902,84.09320399363091,66.14995107146812,109.06801125279388,132.67199662975895,0.8220876599691529,0.3908245826126582
P23_B03_ACT104_EGFR,PLATE_23,link_41_1_80_0,0,88.62829570740938,16.797979871072865,15.6193323745569,1.178647496515965,186.332479739949,489.1538076783779,0.38092820052719273,0.11753315608619425
P23_B03_ACT104_EGFR,PLATE_23,link_18_0_24_0,0,22.186302080337693,175.45939481734248,102.80910189590209,72.6502929214404,109.10700138239588,194.24720094139616,0.5616914985318793,0.21183661857703334
P23_B03_ACT104_EGFR,PLATE_23,link_24_0_667_1,0,78.15236400775099,131.10784640823155,82.09946428493467,49.00838212329688,98.96430544434824,194.24720094139616,0.5094760952267492,0.250013469412009
P23_B03_ACT104_EGFR,PLATE_23,link_5_0_292_1,1,103.36579366502241,28.273853602807222,17.465947871178546,10.807905731628676,53.088301729747876,63.58046883498214,0.834978141912325,0.49972932896581646
P23_B03_ACT104_EGFR,PLATE_23,link_330_1_519_1,0,76.38307273211778,232.71482452405297,125.08406368659908,107.6307608374539,118.4149751570983,578.0795277752011,0.20484201475328245,0.16118917799070212
P23_B03_ACT104_EGFR,PLATE_23,link_256_0_456_1,0,41.03773020038988,231.5321730089072,121.95377437187189,109.57839863703529,83.98522893545308,122.5689038474592,0.6852082893714649,0.7099030952298301
P23_B03_ACT104_EGFR,PLATE_23,link_30_0_786_0,1,0.0,180.0,90.0,90.0,79.17798641933825,79.17798641933825,1.0,1.0
P23_B03_ACT104_EGFR,PLATE_23,link_76_1_170_0,0,101.11227917518228,183.56714595760295,44.30428684849974,139.2628591091032,384.644682790695,832.8795486730414,0.46182510232544166,0.18196760810031656
P23_B03_ACT104_EGFR,PLATE_23,link_780_0_798_0,0,160.24697189026708,51.466428346040516,50.95448680618713,0.5119415398533854,156.36974477088066,452.13478890037857,0.34584762909127637,0.6983707388854745
P23_B03_ACT104_EGFR,PLATE_23,link_766_0_767_0,0,127.66315560881279,208.52154369805424,90.48378371621753,118.03775998183673,82.92942135225375,488.37634488801274,0.16980638440068163,0.3355453208995726
P23_B03_ACT104_EGFR,PLATE_23,link_679_0_690_1,0,65.85522378672766,209.8616651234031,43.94665247564073,165.91501264776235,167.92721803781478,245.55871136709598,0.6838577100478971,0.15303532518351065
P23_B03_ACT104_EGFR,PLATE_23,link_549_1_693_0,0,80.91771870239553,76.23180264982064,54.74834123311609,21.483461416704543,143.8084749270176,1233.1054637656357,0.11662301332106488,0.14245812549564288
P23_B03_ACT104_EGFR,PLATE_23,link_197_1_635_0,0,140.90851003399334,148.4520126630291,81.27645529035611,67.17555737267301,131.9723501153718,648.6518425384611,0.2034563712929662,0.17639653516190568
