stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,1,364.3550753317129,146.8400954653938,1.0,0.013884541167829336,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,498.7828856724175,138.8031496062992,1.0,0.17783312775794527,130.5
P23_B03_ACT104_EGFR,PLATE_23,1,278.4721414491363,148.88829787234042,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,521.7379324826451,149.86601307189542,1.0,0.39172039768064787,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,336.70333479448243,123.66867469879519,0.9698795180722891,0.3069936736091878,112.75
P23_B03_ACT104_EGFR,PLATE_23,0,284.22419325948687,146.86524822695034,1.0,0.0,149.0
P23_B03_ACT104_EGFR,PLATE_23,1,574.0928439112218,146.80289855072465,1.0,0.9905662911027994,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,342.4294289825043,149.98287671232876,1.0,0.2930076237023994,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,850.969312265829,121.50218340611353,1.0,0.061656545637562274,103.0
P23_B03_ACT104_EGFR,PLATE_23,1,453.4301827645754,142.91754385964913,1.0,0.9810799637708968,139.0
P23_B03_ACT104_EGFR,PLATE_23,1,2145.3836986668894,134.11154408183145,1.0,0.024543820893624196,123.0
P23_B03_ACT104_EGFR,PLATE_23,1,63.33410530611695,146.79166666666666,1.0,0.6809159153816066,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,576.5814901174135,149.5073409461664,1.0,0.0259401388163704,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,138.38031979956432,126.62105263157895,1.0,0.0,101.0
P23_B03_ACT104_EGFR,PLATE_23,0,34.23259241886177,150.0,1.0,0.9954754493858272,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,443.55234876930047,124.02210884353741,1.0,0.02281352375371672,94.0
P23_B03_ACT104_EGFR,PLATE_23,0,826.1116974152902,130.187270501836,1.0,0.13794517010125526,110.0
P23_B03_ACT104_EGFR,PLATE_23,1,533.555401004521,149.8796992481203,1.0,0.996538814964346,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,316.33079587630766,146.08805031446542,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,52.83057585570623,129.9090909090909,1.0,0.9834394680240663,113.0
P23_B03_ACT104_EGFR,PLATE_23,1,579.2435342341334,128.26344086021504,1.0,0.9579673149778408,107.0
P23_B03_ACT104_EGFR,PLATE_23,1,388.4944018827923,94.63346613545816,1.0,0.0,65.0
P23_B03_ACT104_EGFR,PLATE_23,1,275.3269887201009,123.18439716312056,1.0,0.0,102.0
P23_B03_ACT104_EGFR,PLATE_23,0,466.07564251413646,144.96955128205127,1.0,0.8449043912549686,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,547.0302260090161,125.0242214532872,1.0,0.0,103.0
P23_B03_ACT104_EGFR,PLATE_23,1,455.92259796595204,112.16770186335404,1.0,0.0,85.0
P23_B03_ACT104_EGFR,PLATE_23,1,2130.692592258584,137.1195484864033,1.0,0.15720947732810403,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,158.35597283867648,138.60493827160494,1.0,0.0,148.0
P23_B03_ACT104_EGFR,PLATE_23,1,220.56281670067926,141.1121076233184,1.0,0.9910740928137272,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,163.73763019446312,150.0,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,491.117422734192,131.2560553633218,1.0,0.0,106.0
P23_B03_ACT104_EGFR,PLATE_23,0,1240.9076448941894,138.23848878394332,1.0,0.0,134.0
P23_B03_ACT104_EGFR,PLATE_23,1,695.5293541412416,136.34957020057305,1.0,0.0,130.0
P23_B03_ACT104_EGFR,PLATE_23,0,26.242313436523958,146.67857142857142,1.0,0.9949342952871716,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,372.664959479898,115.04347826086956,1.0,0.0,64.0
P23_B03_ACT104_EGFR,PLATE_23,1,359.44889641706055,137.78571428571428,1.0,0.0,131.0
P23_B03_ACT104_EGFR,PLATE_23,0,671.936844006416,125.08598130841122,0.9570093457943926,0.3395233913529359,117.0
P23_B03_ACT104_EGFR,PLATE_23,1,185.25295081657885,144.88934426229508,1.0,0.9642326740144268,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,388.8668452606735,130.20247933884298,1.0,0.0,112.0
P23_B03_ACT104_EGFR,PLATE_23,1,920.2207327615158,131.82003395585738,1.0,0.0,126.0
P23_B03_ACT104_EGFR,PLATE_23,1,227.30743732368572,139.73061224489797,1.0,0.98018038434698,149.0
P23_B03_ACT104_EGFR,PLATE_23,0,196.02694295138926,118.86734693877551,1.0,0.0,97.0
P23_B03_ACT104_EGFR,PLATE_23,0,271.0597483793275,145.7,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,766.8096000884548,113.5125748502994,1.0,0.0651957832413246,90.0
