 ,Label,Area,Mean,Min,Max,Length
1,23_B02_ctrl-2.nd2:1814-2016,296.416,1284.759,474.721,15439.040,412.846
2,23_B02_ctrl-2.nd2:2845-2062,115.952,8875.695,499.000,35169.879,155.757
3,23_B02_ctrl-2.nd2:2201-2805,329.725,2713.455,445.920,29815.000,427.825
4,23_B02_ctrl-2.nd2:1173-2410,329.725,3895.466,516.160,20551.000,419.562
5,23_B02_ctrl-2.nd2:0116-2209,147.997,8819.916,583.220,30411.545,200.831
6,23_B02_ctrl-2.nd2:0727-2405,214.617,1965.751,500.000,11984.000,286.107
7,23_B02_ctrl-2.nd2:1869-1535,130.710,2215.760,530.000,5837.700,175.649
8,23_B02_ctrl-2.nd2:1160-2041,122.277,3457.000,522.000,10699.000,166.938
9,23_B02_ctrl-2.nd2:1368-2425,156.851,2038.348,496.000,8700.310,221.994
10,23_B02_ctrl-2.nd2:0256-3404,334.363,4298.736,501.657,26030.000,434.302
11,23_B02_ctrl-2.nd2:1254-3491,212.508,2568.243,522.000,18548.359,293.725
12,23_B02_ctrl-2.nd2:1412-0141,69.993,1566.277,457.000,14945.000,84.145
13,23_B02_ctrl-2.nd2:1418-2226,76.739,5487.204,573.630,15083.370,98.871
14,23_B02_ctrl-2.nd2:2389-0526,179.620,2207.028,472.000,12042.000,254.083
15,23_B02_ctrl-2.nd2:2644-0706,164.863,5826.739,520.000,17006.000,238.533
16,23_B02_ctrl-2.nd2:2529-1047,351.651,1841.372,488.710,22461.119,489.826
17,23_B02_ctrl-2.nd2:1623-0714,215.038,4467.313,496.000,13936.100,315.563
18,23_B02_ctrl-2.nd2,99.086,3105.729,500.020,7275.450,142.677
19,23_B02_ctrl-2.nd2:2369-0125,99.086,3105.729,500.020,7275.450,142.677
20,23_B02_ctrl-2.nd2:2862-1095,143.359,5463.722,455.680,18425.000,207.316
21,23_B02_ctrl-2.nd2:3190-2542,188.475,1989.109,507.600,6767.160,252.449
22,23_B02_ctrl-2.nd2:3236-3316,218.833,2348.041,484.000,11921.000,291.608
23,23_B02_ctrl-2.nd2:2893-3517,130.710,877.905,489.000,3626.920,184.598
24,23_B02_ctrl-2.nd2:3053-3338,226.423,975.332,446.000,4140.480,299.781
25,23_B02_ctrl-2.nd2:3479-2066,111.314,3977.753,570.000,11276.500,159.626
26,23_B02_ctrl-2.nd2:0439-0256,253.408,4481.875,512.536,16892.000,344.810
27,23_B02_ctrl-2.nd2:0153-0243,250.878,2804.645,425.920,11928.920,355.526
28,23_B02_ctrl-2.nd2:0478-0929,162.333,1916.331,499.000,11287.000,226.648
29,23_B02_ctrl-2.nd2:0125-0897,350.808,1204.685,462.000,8359.000,490.751
30,23_B02_ctrl-2.nd2:0909-0216,212.087,1922.986,486.000,7238.950,286.864
31,23_B02_ctrl-2.nd2:0796-0403,178.777,5059.076,462.270,16726.000,241.092
32,23_B02_ctrl-2.nd2:0769-0827,126.071,2017.742,491.000,7994.475,170.276
33,23_B02_ctrl-2.nd2:3096-0536,217.990,3833.429,511.920,31410.000,311.978
34,23_B02_ctrl-2.nd2:2961-0309,265.636,4329.857,469.000,26422.000,381.174
35,23_B02_ctrl-2.nd2:2565-0929,203.654,2399.895,486.000,8599.000,297.642
36,23_B02_ctrl-2.nd2:0661-3538,141.251,3842.288,490.400,17396.000,177.312
37,23_B02_ctrl-2.nd2:2540-3216,155.165,2083.498,489.000,10685.270,209.655
38,23_B02_ctrl-2.nd2:0850-0245,138.721,1516.875,516.015,6101.000,190.697
39,23_B02_ctrl-2.nd2:0353-0243,54.814,3796.674,529.000,8702.720,73.701
40,23_B02_ctrl-2.nd2:0053-1428,114.265,2421.870,474.000,13584.080,155.056
41,23_B02_ctrl-2.nd2:0025-1202,53.970,2636.645,463.000,9802.943,75.982
42,23_B02_ctrl-2.nd2:0110-0529,103.724,2196.513,470.730,7846.726,137.536
43,23_B02_ctrl-2.nd2:0607-0233,124.385,2174.568,501.000,9398.706,164.057
44,23_B02_ctrl-2.nd2:2679-0196,182.993,2170.634,529.000,4921.750,263.936
45,23_B02_ctrl-2.nd2:2727-0173,166.549,1354.662,504.000,7565.000,235.482
46,23_B02_ctrl-2.nd2:1090-2983,268.587,1181.883,446.000,6245.000,380.290
47,23_B02_ctrl-2.nd2:0869-2945,356.289,2644.045,437.000,34103.051,473.190
48,23_B02_ctrl-2.nd2:0093-3132,153.057,3071.798,465.000,29632.680,199.041
49,23_B02_ctrl-2.nd2:0090-3178,58.187,8967.183,2175.400,18025.000,81.047
50,23_B02_ctrl-2.nd2:0336-2997,142.937,1704.097,480.000,7801.077,184.126
51,23_B02_ctrl-2.nd2:0117-2748,115.530,2330.244,487.840,8901.000,164.280
52,23_B02_ctrl-2.nd2:1042-3383,123.120,2156.599,494.000,9976.590,158.020
53,23_B02_ctrl-2.nd2:1989-0343,257.203,5250.065,457.760,27827.000,361.363
54,23_B02_ctrl-2.nd2:2392-1045,262.262,3040.883,483.600,9687.020,363.247
55,23_B02_ctrl-2.nd2:2369-1155,329.304,3151.377,441.000,17567.000,438.927
56,23_B02_ctrl-2.nd2:3246-1112,85.594,4438.698,540.000,13990.920,113.221
57,23_B02_ctrl-2.nd2:3326-1307,164.019,1843.751,520.500,13536.710,226.204
58,23_B02_ctrl-2.nd2:0201-2952,275.755,3104.287,483.000,10335.346,360.769
59,23_B02_ctrl-2.nd2,113.844,8087.950,514.000,42875.000,149.249
60,23_B02_ctrl-2.nd2:0343-2870,113.844,8087.950,514.000,42875.000,149.249
61,23_B02_ctrl-2.nd2:0396-2880,63.247,3664.011,617.840,9168.000,82.125
62,23_B02_ctrl-2.nd2:0687-3118,54.392,4979.266,523.000,25632.000,70.713
63,23_B02_ctrl-2.nd2:1244-0183,158.960,2835.368,532.000,14731.000,226.118
64,23_B02_ctrl-2.nd2:1363-0563,155.587,2806.215,485.000,11819.650,222.531
65,23_B02_ctrl-2.nd2:1268-1338,88.967,4467.640,574.590,19872.340,123.053
66,23_B02_ctrl-2.nd2:1094-0106,58.608,3223.126,514.000,6515.000,77.415
67,23_B02_ctrl-2.nd2:3582-0869,104.146,4103.116,510.953,18665.602,144.817
68,23_B02_ctrl-2.nd2:0749-2868,285.031,1051.788,487.960,18046.811,430.930
69,23_B02_ctrl-2.nd2:3398-3191,86.015,2502.660,477.924,16342.829,117.716
70,23_B02_ctrl-2.nd2:1873-0822,218.833,1321.933,425.000,4146.000,313.419
71,23_B02_ctrl-2.nd2:1710-0912,161.490,2240.757,503.480,8905.640,232.970
72,23_B02_ctrl-2.nd2:1152-0872,126.493,2618.261,533.000,17242.400,174.546
73,23_B02_ctrl-2.nd2:1095-1162,186.788,1610.075,478.000,15021.120,255.877
74,23_B02_ctrl-2.nd2:1370-1433,69.150,3206.650,750.000,7533.050,102.662
75,23_B02_ctrl-2.nd2:3040-0586,93.605,3289.039,552.270,10634.570,129.974
76,23_B02_ctrl-2.nd2:1123-2219,61.982,5977.600,508.480,17309.578,90.481
77,23_B02_ctrl-2.nd2:1167-2705,83.485,1328.360,519.647,2782.700,125.535
78,23_B02_ctrl-2.nd2:1861-1836,118.904,1310.301,508.880,9991.980,171.829
79,23_B02_ctrl-2.nd2:3429-0619,55.235,2717.700,498.000,6918.840,76.933
80,23_B02_ctrl-2.nd2:2569-0421,137.877,1168.493,464.000,3758.000,206.605
81,23_B02_ctrl-2.nd2:3328-0604,204.919,1197.846,509.660,2972.830,280.243
82,23_B02_ctrl-2.nd2:1423-3186,110.892,2049.304,509.000,7836.023,156.183
83,23_B02_ctrl-2.nd2:2647-1047,60.295,2790.402,532.000,6396.714,90.998
84,23_B02_ctrl-2.nd2:3078-0091,75.896,3525.211,484.000,11140.000,113.201
85,23_B02_ctrl-2.nd2:2996-0075,70.836,1724.872,482.000,7372.765,101.493
86,23_B02_ctrl-2.nd2:1195-1090,55.235,2355.310,649.000,5461.905,76.872
87,23_B02_ctrl-2.nd2:1465-3015,67.885,1586.013,588.085,4160.322,95.791
88,23_B02_ctrl-2.nd2:2184-0056,45.538,3853.594,496.000,8835.000,66.097
89,23_B02_ctrl-2.nd2:0508-3546,96.978,2874.269,545.540,12514.344,136.030
90,23_B02_ctrl-2.nd2:0363-2599,84.750,956.746,487.000,2872.940,123.053
